Learner,Country,Gender,YOB,Level of Education
Learner 4819,Germany,Female,1988,Master's Degree
Learner 4820,South Korea,Female,1988,Undergraduate
Learner 4828,France,Male,1988,Undergraduate
Learner 4836,Saudi Arabia,Female,1988,Academic Degree
Learner 4841,Saudi Arabia,Female,1988,Academic Degree
Learner 4842,France,Male,1988,Master's Degree
Learner 4848,Italy,Female,1988,Undergraduate
Learner 4853,Italy,Female,1988,Master's Degree
Learner 4854,South Korea,Female,1988,Master's Degree
Learner 4860,Spain,Male,1988,Undergraduate
Learner 4878,Saudi Arabia,Female,1988,Academic Degree
Learner 4898,France,Male,1988,Master's Degree
Learner 4899,Saudi Arabia,Female,1988,Academic Degree
Learner 4911,Italy,Female,1988,Undergraduate
Learner 4922,South Korea,Female,1988,Academic Degree
Learner 4924,Saudi Arabia,Female,1988,Master's Degree
Learner 4935,Italy,Female,1988,Academic Degree
Learner 4936,Saudi Arabia,Male,1988,Academic Degree
Learner 4944,Saudi Arabia,Female,1988,Master's Degree
Learner 4945,Germany,Male,1988,Master's Degree
Learner 4954,Italy,Female,1988,Academic Degree
Learner 1,United States,Male,1989,Academic Degree
Learner 8,Canada,Male,1989,Undergraduate
Learner 55,United Kingdom,Male,1989,Undergraduate
Learner 61,United States,Female,1989,Master's Degree
Learner 70,United States,Male,1989,Master's Degree
Learner 71,Canada,Female,1989,Master's Degree
Learner 73,United Kingdom,Female,1989,Undergraduate
Learner 75,Australia,Male,1989,Master's Degree
Learner 81,United States,Female,1989,Master's Degree
Learner 93,Australia,Male,1989,Master's Degree
Learner 100,United States,Male,1989,Academic Degree
Learner 116,United States,Female,1989,Master's Degree
Learner 121,Canada,Female,1989,Undergraduate
Learner 126,Canada,Male,1989,Undergraduate
Learner 135,United States,Female,1989,Academic Degree
Learner 141,Canada,Female,1989,Undergraduate
Learner 161,Canada,Female,1989,Undergraduate
Learner 169,Australia,Female,1989,Master's Degree
Learner 172,Canada,Male,1989,Master's Degree
Learner 181,Canada,Male,1989,Master's Degree
Learner 182,Australia,Male,1989,Undergraduate
Learner 223,Australia,Female,1989,Undergraduate
Learner 238,Canada,Female,1989,Academic Degree
Learner 240,United States,Male,1989,Master's Degree
Learner 245,United Kingdom,Male,1989,Academic Degree
Learner 248,United States,Female,1989,Master's Degree
Learner 269,Canada,Female,1989,Master's Degree
Learner 270,United States,Male,1989,Master's Degree
Learner 277,Australia,Male,1989,Master's Degree
Learner 289,United Kingdom,Male,1989,Master's Degree
Learner 292,Canada,Male,1989,Academic Degree
Learner 295,Canada,Female,1989,Master's Degree
Learner 313,United Kingdom,Male,1989,Undergraduate
Learner 315,United Kingdom,Female,1989,Academic Degree
Learner 321,United States,Male,1989,Undergraduate
Learner 324,United Kingdom,Male,1989,Master's Degree
Learner 335,United States,Male,1989,Academic Degree
Learner 341,Canada,Male,1989,Academic Degree
Learner 344,United Kingdom,Female,1989,Academic Degree
Learner 350,Canada,Female,1989,Academic Degree
Learner 351,United Kingdom,Female,1989,Master's Degree
Learner 360,United Kingdom,Male,1989,Academic Degree
Learner 373,Canada,Female,1989,Academic Degree
Learner 376,United Kingdom,Female,1989,Master's Degree
Learner 379,Canada,Female,1989,Undergraduate
Learner 380,Australia,Female,1989,Undergraduate
Learner 385,Canada,Male,1989,Academic Degree
Learner 386,United Kingdom,Female,1989,Academic Degree
Learner 395,United Kingdom,Female,1989,Academic Degree
Learner 409,United Kingdom,Female,1989,Undergraduate
Learner 421,Canada,Male,1989,Master's Degree
Learner 430,United States,Female,1989,Academic Degree
Learner 449,United Kingdom,Female,1989,Master's Degree
Learner 451,United States,Male,1989,Undergraduate
Learner 460,United States,Female,1989,Master's Degree
Learner 467,Canada,Female,1989,Academic Degree
Learner 470,United Kingdom,Male,1989,Academic Degree
Learner 472,Canada,Female,1989,Academic Degree
Learner 474,Australia,Male,1989,Undergraduate
Learner 477,Canada,Male,1989,Undergraduate
Learner 481,Australia,Female,1989,Master's Degree
Learner 484,Australia,Male,1989,Academic Degree
Learner 493,United States,Male,1989,Academic Degree
Learner 506,Canada,Female,1989,Undergraduate
Learner 510,Canada,Female,1989,Master's Degree
Learner 511,United Kingdom,Female,1989,Academic Degree
Learner 523,Canada,Male,1989,Academic Degree
Learner 545,Canada,Female,1989,Academic Degree
Learner 546,Canada,Male,1989,Undergraduate
Learner 569,United Kingdom,Female,1989,Master's Degree
Learner 573,United States,Female,1989,Undergraduate
Learner 598,United Kingdom,Male,1989,Master's Degree
Learner 602,Australia,Female,1989,Academic Degree
Learner 610,Canada,Male,1989,Master's Degree
Learner 615,United States,Male,1989,Undergraduate
Learner 622,Australia,Female,1989,Undergraduate
Learner 637,United States,Male,1989,Academic Degree
Learner 644,United States,Male,1989,Master's Degree
Learner 646,United Kingdom,Male,1989,Academic Degree
Learner 649,Canada,Male,1989,Undergraduate
Learner 662,United States,Female,1989,Undergraduate
Learner 670,Canada,Male,1989,Undergraduate
Learner 673,Canada,Male,1989,Master's Degree
Learner 675,Canada,Male,1989,Undergraduate
Learner 685,Canada,Female,1989,Master's Degree
Learner 689,United Kingdom,Male,1989,Master's Degree
Learner 692,United Kingdom,Female,1989,Undergraduate
Learner 695,United States,Male,1989,Academic Degree
Learner 718,Canada,Male,1989,Master's Degree
Learner 729,United Kingdom,Male,1989,Master's Degree
Learner 735,Canada,Female,1989,Academic Degree
Learner 752,Canada,Female,1989,Undergraduate
Learner 757,Australia,Female,1989,Academic Degree
Learner 761,Australia,Male,1989,Master's Degree
Learner 772,Australia,Female,1989,Undergraduate
Learner 778,Australia,Female,1989,Undergraduate
Learner 779,Australia,Female,1989,Academic Degree
Learner 781,Australia,Male,1989,Undergraduate
Learner 792,United Kingdom,Male,1989,Master's Degree
Learner 799,Australia,Male,1989,Undergraduate
Learner 810,United States,Male,1989,Academic Degree
Learner 825,Australia,Male,1989,Master's Degree
Learner 834,United States,Female,1989,Master's Degree
Learner 849,Australia,Male,1989,Undergraduate
Learner 851,Australia,Male,1989,Undergraduate
Learner 863,Canada,Female,1989,Undergraduate
Learner 867,United States,Female,1989,Master's Degree
Learner 876,United Kingdom,Male,1989,Academic Degree
Learner 886,Australia,Female,1989,Academic Degree
Learner 895,Australia,Female,1989,Master's Degree
Learner 901,United Kingdom,Male,1989,Academic Degree
Learner 905,United States,Female,1989,Master's Degree
Learner 906,United Kingdom,Male,1989,Master's Degree
Learner 909,United Kingdom,Male,1989,Master's Degree
Learner 920,Canada,Female,1989,Undergraduate
Learner 932,United States,Male,1989,Undergraduate
Learner 942,Australia,Female,1989,Master's Degree
Learner 970,Australia,Female,1989,Master's Degree
Learner 976,United Kingdom,Female,1989,Academic Degree
Learner 984,Canada,Female,1989,Master's Degree
Learner 1007,Canada,Male,1989,Undergraduate
Learner 1012,United States,Male,1989,Academic Degree
Learner 1018,Canada,Male,1989,Master's Degree
Learner 1030,Canada,Male,1989,Academic Degree
Learner 1041,Australia,Male,1989,Undergraduate
Learner 1046,Australia,Male,1989,Master's Degree
Learner 1060,United States,Female,1989,Academic Degree
Learner 1074,Canada,Female,1989,Academic Degree
Learner 1093,Australia,Male,1989,Master's Degree
Learner 1099,Canada,Male,1989,Undergraduate
Learner 1115,Canada,Female,1989,Academic Degree
Learner 1145,Canada,Female,1989,Academic Degree
Learner 1146,Australia,Female,1989,Academic Degree
Learner 1150,Canada,Female,1989,Undergraduate
Learner 1157,United States,Female,1989,Academic Degree
Learner 1167,United Kingdom,Male,1989,Master's Degree
Learner 1189,Australia,Female,1989,Undergraduate
Learner 1193,United States,Female,1989,Academic Degree
Learner 1197,United Kingdom,Male,1989,Undergraduate
Learner 1198,United Kingdom,Male,1989,Undergraduate
Learner 1212,Canada,Male,1989,Academic Degree
Learner 1214,United Kingdom,Male,1989,Undergraduate
Learner 1215,United Kingdom,Male,1989,Undergraduate
Learner 1242,United Kingdom,Male,1989,Master's Degree
Learner 1249,Canada,Female,1989,Master's Degree
Learner 1263,Australia,Female,1989,Undergraduate
Learner 1265,United States,Male,1989,Academic Degree
Learner 1270,Australia,Male,1989,Undergraduate
Learner 1277,Australia,Male,1989,Master's Degree
Learner 1291,United States,Male,1989,Undergraduate
Learner 1300,United States,Male,1989,Academic Degree
Learner 1302,Canada,Female,1989,Undergraduate
Learner 1304,United Kingdom,Male,1989,Master's Degree
Learner 1310,United Kingdom,Male,1989,Academic Degree
Learner 1311,Australia,Female,1989,Undergraduate
Learner 1313,Australia,Male,1989,Academic Degree
Learner 1332,United Kingdom,Female,1989,Master's Degree
Learner 1336,Australia,Male,1989,Undergraduate
Learner 1344,United States,Male,1989,Academic Degree
Learner 1346,United States,Female,1989,Academic Degree
Learner 1361,Canada,Male,1989,Master's Degree
Learner 1369,Australia,Male,1989,Academic Degree
Learner 1371,United States,Male,1989,Academic Degree
Learner 1375,Canada,Male,1989,Undergraduate
Learner 1377,Canada,Male,1989,Academic Degree
Learner 1389,Australia,Female,1989,Master's Degree
Learner 1398,United States,Male,1989,Master's Degree
Learner 1407,Canada,Male,1989,Undergraduate
Learner 1416,United States,Male,1989,Master's Degree
Learner 1431,United Kingdom,Male,1989,Master's Degree
Learner 1432,Australia,Male,1989,Master's Degree
Learner 1441,United Kingdom,Female,1989,Undergraduate
Learner 1444,United States,Female,1989,Academic Degree
Learner 1446,United Kingdom,Female,1989,Undergraduate
Learner 1448,United States,Female,1989,Master's Degree
Learner 1453,United States,Female,1989,Undergraduate
Learner 1468,Australia,Male,1989,Academic Degree
Learner 1470,United States,Female,1989,Undergraduate
Learner 1479,Canada,Female,1989,Academic Degree
Learner 1488,United Kingdom,Female,1989,Master's Degree
Learner 1491,Canada,Male,1989,Academic Degree
Learner 1500,Canada,Female,1989,Undergraduate
Learner 1515,United Kingdom,Male,1989,Academic Degree
Learner 1517,Australia,Male,1989,Academic Degree
Learner 1519,United Kingdom,Female,1989,Master's Degree
Learner 1521,United States,Female,1989,Academic Degree
Learner 1525,Australia,Female,1989,Master's Degree
Learner 1534,Canada,Male,1989,Master's Degree
Learner 1545,Australia,Female,1989,Master's Degree
Learner 1547,Canada,Female,1989,Master's Degree
Learner 1552,Australia,Female,1989,Academic Degree
Learner 1554,United Kingdom,Female,1989,Academic Degree
Learner 1556,United Kingdom,Female,1989,Master's Degree
Learner 1561,Australia,Male,1989,Master's Degree
Learner 1567,Canada,Female,1989,Academic Degree
Learner 1568,Australia,Female,1989,Academic Degree
Learner 1579,United States,Male,1989,Master's Degree
Learner 1580,Canada,Male,1989,Master's Degree
Learner 1609,United Kingdom,Male,1989,Undergraduate
Learner 1615,United Kingdom,Male,1989,Undergraduate
Learner 1616,Canada,Male,1989,Master's Degree
Learner 1632,Australia,Female,1989,Undergraduate
Learner 1634,United Kingdom,Female,1989,Undergraduate
Learner 1638,United States,Male,1989,Master's Degree
Learner 1639,Australia,Female,1989,Undergraduate
Learner 1640,Canada,Female,1989,Academic Degree
Learner 1684,Australia,Female,1989,Academic Degree
Learner 1687,Australia,Female,1989,Master's Degree
Learner 1699,Canada,Male,1989,Undergraduate
Learner 1710,United Kingdom,Male,1989,Undergraduate
Learner 1725,Canada,Male,1989,Master's Degree
Learner 1726,United Kingdom,Female,1989,Master's Degree
Learner 1727,Canada,Female,1989,Master's Degree
Learner 1728,Australia,Male,1989,Undergraduate
Learner 1731,Canada,Male,1989,Master's Degree
Learner 1746,United Kingdom,Female,1989,Undergraduate
Learner 1758,Canada,Male,1989,Undergraduate
Learner 1761,Canada,Male,1989,Master's Degree
Learner 1781,Canada,Male,1989,Undergraduate
Learner 1786,Australia,Male,1989,Master's Degree
Learner 1792,United States,Male,1989,Academic Degree
Learner 1796,Canada,Male,1989,Undergraduate
Learner 1800,United Kingdom,Male,1989,Master's Degree
Learner 1804,Canada,Female,1989,Academic Degree
Learner 1816,Canada,Female,1989,Master's Degree
Learner 1821,Canada,Female,1989,Undergraduate
Learner 1825,Canada,Female,1989,Master's Degree
Learner 1826,United States,Female,1989,Master's Degree
Learner 1858,Canada,Male,1989,Undergraduate
Learner 1861,Australia,Male,1989,Undergraduate
Learner 1865,United States,Female,1989,Undergraduate
Learner 1871,United Kingdom,Female,1989,Academic Degree
Learner 1872,United Kingdom,Male,1989,Master's Degree
Learner 1897,Canada,Female,1989,Master's Degree
Learner 1898,Australia,Male,1989,Undergraduate
Learner 1899,United Kingdom,Female,1989,Undergraduate
Learner 1900,United States,Male,1989,Master's Degree
Learner 1910,United States,Female,1989,Undergraduate
Learner 1929,Canada,Female,1989,Academic Degree
Learner 1936,Canada,Female,1989,Undergraduate
Learner 1939,Australia,Female,1989,Undergraduate
Learner 1942,Canada,Male,1989,Academic Degree
Learner 1960,United Kingdom,Male,1989,Academic Degree
Learner 1972,Canada,Female,1989,Master's Degree
Learner 1973,United States,Male,1989,Master's Degree
Learner 1975,United States,Male,1989,Academic Degree
Learner 1977,Australia,Female,1989,Academic Degree
Learner 1980,United Kingdom,Male,1989,Master's Degree
Learner 1982,Australia,Female,1989,Undergraduate
Learner 1983,United States,Female,1989,Master's Degree
Learner 1985,Australia,Female,1989,Master's Degree
Learner 1986,United Kingdom,Female,1989,Master's Degree
Learner 1989,United States,Female,1989,Master's Degree
Learner 2000,United States,Male,1989,Master's Degree
Learner 2003,Canada,Male,1989,Undergraduate
Learner 2006,United Kingdom,Male,1989,Master's Degree
Learner 2007,Australia,Male,1989,Academic Degree
Learner 2008,Canada,Male,1989,Academic Degree
Learner 2013,United States,Female,1989,Undergraduate
Learner 2015,Canada,Female,1989,Undergraduate
Learner 2023,Canada,Female,1989,Academic Degree
Learner 2024,United States,Male,1989,Academic Degree
Learner 2032,Canada,Female,1989,Academic Degree
Learner 2033,Canada,Female,1989,Academic Degree
Learner 2041,Australia,Male,1989,Undergraduate
Learner 2044,Australia,Female,1989,Undergraduate
Learner 2049,United Kingdom,Female,1989,Undergraduate
Learner 2065,United Kingdom,Female,1989,Academic Degree
Learner 2066,United States,Male,1989,Undergraduate
Learner 2070,Canada,Male,1989,Undergraduate
Learner 2080,Canada,Female,1989,Academic Degree
Learner 2086,United States,Female,1989,Academic Degree
Learner 2089,Canada,Male,1989,Academic Degree
Learner 2091,Canada,Male,1989,Master's Degree
Learner 2096,United States,Female,1989,Academic Degree
Learner 2108,Canada,Female,1989,Undergraduate
Learner 2116,United Kingdom,Female,1989,Undergraduate
Learner 2117,United States,Female,1989,Academic Degree
Learner 2128,Canada,Male,1989,Undergraduate
Learner 2129,Australia,Male,1989,Master's Degree
Learner 2138,Canada,Female,1989,Undergraduate
Learner 2154,United Kingdom,Male,1989,Master's Degree
Learner 2175,United Kingdom,Female,1989,Undergraduate
Learner 2176,Australia,Female,1989,Master's Degree
Learner 2177,United States,Female,1989,Undergraduate
Learner 2179,Canada,Female,1989,Academic Degree
Learner 2185,United Kingdom,Female,1989,Master's Degree
Learner 2193,United States,Male,1989,Master's Degree
Learner 2203,United States,Female,1989,Academic Degree
Learner 2213,Canada,Female,1989,Master's Degree
Learner 2220,Australia,Male,1989,Undergraduate
Learner 2223,Australia,Male,1989,Master's Degree
Learner 2230,United States,Female,1989,Master's Degree
Learner 2231,United States,Male,1989,Undergraduate
Learner 2240,United Kingdom,Female,1989,Master's Degree
Learner 2246,Canada,Female,1989,Academic Degree
Learner 2253,Canada,Male,1989,Academic Degree
Learner 2261,Australia,Male,1989,Academic Degree
Learner 2263,Canada,Female,1989,Master's Degree
Learner 2289,United States,Female,1989,Undergraduate
Learner 2314,Canada,Female,1989,Undergraduate
Learner 2322,Australia,Male,1989,Master's Degree
Learner 2327,Australia,Female,1989,Master's Degree
Learner 2338,United States,Female,1989,Academic Degree
Learner 2339,United Kingdom,Male,1989,Master's Degree
Learner 2347,United Kingdom,Female,1989,Academic Degree
Learner 2350,Canada,Female,1989,Academic Degree
Learner 2351,United Kingdom,Male,1989,Academic Degree
Learner 2360,United Kingdom,Male,1989,Master's Degree
Learner 2365,United States,Male,1989,Master's Degree
Learner 2373,Canada,Female,1989,Undergraduate
Learner 2378,Canada,Female,1989,Master's Degree
Learner 2393,United Kingdom,Male,1989,Undergraduate
Learner 2398,Australia,Male,1989,Undergraduate
Learner 2399,Australia,Male,1989,Undergraduate
Learner 2414,United States,Female,1989,Master's Degree
Learner 2419,Australia,Female,1989,Master's Degree
Learner 2424,Canada,Female,1989,Academic Degree
Learner 2425,Canada,Male,1989,Undergraduate
Learner 2428,United Kingdom,Female,1989,Undergraduate
Learner 2430,United Kingdom,Female,1989,Master's Degree
Learner 2431,Australia,Female,1989,Master's Degree
Learner 2439,United States,Female,1989,Undergraduate
Learner 2450,United States,Female,1989,Academic Degree
Learner 2457,Canada,Male,1989,Academic Degree
Learner 2465,United Kingdom,Female,1989,Academic Degree
Learner 2477,Australia,Female,1989,Master's Degree
Learner 2479,Canada,Male,1989,Undergraduate
Learner 2497,United Kingdom,Male,1989,Academic Degree
Learner 2499,Canada,Female,1989,Undergraduate
Learner 2511,United States,Male,1989,Academic Degree
Learner 2514,Canada,Male,1989,Master's Degree
Learner 2519,Canada,Female,1989,Academic Degree
Learner 2521,United States,Female,1989,Master's Degree
Learner 2530,United States,Male,1989,Undergraduate
Learner 2532,United States,Female,1989,Master's Degree
Learner 2536,United Kingdom,Male,1989,Undergraduate
Learner 2542,Australia,Female,1989,Academic Degree
Learner 2547,Canada,Male,1989,Undergraduate
Learner 2548,United States,Female,1989,Master's Degree
Learner 2549,Canada,Male,1989,Academic Degree
Learner 2551,United States,Female,1989,Master's Degree
Learner 2553,United States,Male,1989,Academic Degree
Learner 2558,United Kingdom,Male,1989,Undergraduate
Learner 2562,Australia,Female,1989,Academic Degree
Learner 2590,Canada,Male,1989,Master's Degree
Learner 2594,Australia,Male,1989,Master's Degree
Learner 2596,Canada,Male,1989,Undergraduate
Learner 2599,Australia,Male,1989,Academic Degree
Learner 2604,Canada,Female,1989,Master's Degree
Learner 2605,Australia,Male,1989,Master's Degree
Learner 2608,United Kingdom,Male,1989,Academic Degree
Learner 2619,United Kingdom,Female,1989,Academic Degree
Learner 2624,Canada,Male,1989,Master's Degree
Learner 2647,Canada,Female,1989,Undergraduate
Learner 2649,Canada,Female,1989,Academic Degree
Learner 2660,Australia,Female,1989,Undergraduate
Learner 2668,Canada,Male,1989,Academic Degree
Learner 2673,United States,Female,1989,Master's Degree
Learner 2674,United States,Male,1989,Undergraduate
Learner 2696,Canada,Female,1989,Master's Degree
Learner 2701,Canada,Male,1989,Undergraduate
Learner 2705,Canada,Female,1989,Academic Degree
Learner 2709,United Kingdom,Male,1989,Academic Degree
Learner 2711,Canada,Male,1989,Academic Degree
Learner 2714,United Kingdom,Female,1989,Academic Degree
Learner 2719,United States,Male,1989,Academic Degree
Learner 2721,Canada,Male,1989,Academic Degree
Learner 2730,United Kingdom,Male,1989,Undergraduate
Learner 2742,Australia,Female,1989,Master's Degree
Learner 2751,Canada,Female,1989,Academic Degree
Learner 2755,Australia,Female,1989,Undergraduate
Learner 2760,Australia,Female,1989,Undergraduate
Learner 2778,United Kingdom,Female,1989,Master's Degree
Learner 2806,Australia,Female,1989,Master's Degree
Learner 2830,United Kingdom,Male,1989,Undergraduate
Learner 2831,Australia,Female,1989,Master's Degree
Learner 2834,Australia,Female,1989,Master's Degree
Learner 2846,Australia,Female,1989,Undergraduate
Learner 2852,United States,Female,1989,Undergraduate
Learner 2867,Australia,Male,1989,Academic Degree
Learner 2874,Canada,Female,1989,Master's Degree
Learner 2884,Australia,Female,1989,Master's Degree
Learner 2885,United States,Female,1989,Master's Degree
Learner 2890,Australia,Female,1989,Academic Degree
Learner 2895,Australia,Male,1989,Academic Degree
Learner 2917,Canada,Male,1989,Undergraduate
Learner 2921,Canada,Male,1989,Master's Degree
Learner 2924,United Kingdom,Male,1989,Undergraduate
Learner 2932,United States,Female,1989,Undergraduate
Learner 2936,Canada,Male,1989,Master's Degree
Learner 2942,United States,Male,1989,Master's Degree
Learner 2954,Canada,Female,1989,Academic Degree
Learner 2960,United States,Male,1989,Academic Degree
Learner 2974,Australia,Female,1989,Master's Degree
Learner 2982,Australia,Female,1989,Undergraduate
Learner 3009,United States,Female,1989,Undergraduate
Learner 3014,United States,Male,1989,Academic Degree
Learner 3027,United States,Female,1989,Academic Degree
Learner 3028,Canada,Male,1989,Academic Degree
Learner 3033,Canada,Female,1989,Undergraduate
Learner 3034,United Kingdom,Male,1989,Master's Degree
Learner 3037,United States,Male,1989,Academic Degree
Learner 3045,Australia,Female,1989,Undergraduate
Learner 3050,Australia,Male,1989,Undergraduate
Learner 3056,United Kingdom,Female,1989,Undergraduate
Learner 3060,United Kingdom,Female,1989,Master's Degree
Learner 3064,United States,Female,1989,Undergraduate
Learner 3068,Australia,Male,1989,Undergraduate
Learner 3085,Australia,Female,1989,Academic Degree
Learner 3088,United Kingdom,Male,1989,Academic Degree
Learner 3090,United Kingdom,Female,1989,Undergraduate
Learner 3104,United Kingdom,Female,1989,Undergraduate
Learner 3110,Canada,Female,1989,Master's Degree
Learner 3114,Australia,Female,1989,Undergraduate
Learner 3119,United States,Female,1989,Master's Degree
Learner 3126,United States,Male,1989,Academic Degree
Learner 3147,United Kingdom,Female,1989,Undergraduate
Learner 3165,United Kingdom,Female,1989,Master's Degree
Learner 3168,United Kingdom,Female,1989,Academic Degree
Learner 3180,United States,Female,1989,Master's Degree
Learner 3193,Canada,Female,1989,Master's Degree
Learner 3207,United States,Female,1989,Master's Degree
Learner 3210,United Kingdom,Female,1989,Academic Degree
Learner 3215,United Kingdom,Female,1989,Master's Degree
Learner 3218,Canada,Female,1989,Master's Degree
Learner 3219,United Kingdom,Female,1989,Master's Degree
Learner 3240,United States,Male,1989,Undergraduate
Learner 3265,Australia,Female,1989,Academic Degree
Learner 3268,Australia,Male,1989,Undergraduate
Learner 3275,Canada,Male,1989,Undergraduate
Learner 3285,United Kingdom,Male,1989,Undergraduate
Learner 3292,United States,Male,1989,Academic Degree
Learner 3293,Australia,Female,1989,Master's Degree
Learner 3300,Australia,Female,1989,Academic Degree
Learner 3301,United Kingdom,Male,1989,Academic Degree
Learner 3302,United States,Female,1989,Master's Degree
Learner 3303,United Kingdom,Female,1989,Academic Degree
Learner 3322,Canada,Female,1989,Undergraduate
Learner 3323,United Kingdom,Male,1989,Academic Degree
Learner 3324,Australia,Female,1989,Master's Degree
Learner 3327,Australia,Female,1989,Academic Degree
Learner 3361,Canada,Male,1989,Master's Degree
Learner 3367,Australia,Female,1989,Undergraduate
Learner 3369,Australia,Male,1989,Master's Degree
Learner 3372,United States,Female,1989,Master's Degree
Learner 3375,United States,Female,1989,Master's Degree
Learner 3379,United States,Female,1989,Academic Degree
Learner 3380,United Kingdom,Female,1989,Master's Degree
Learner 3384,United Kingdom,Female,1989,Academic Degree
Learner 3397,United States,Male,1989,Undergraduate
Learner 3406,United Kingdom,Male,1989,Academic Degree
Learner 3410,United Kingdom,Male,1989,Undergraduate
Learner 3416,United States,Female,1989,Academic Degree
Learner 3418,United States,Male,1989,Master's Degree
Learner 3427,United States,Male,1989,Master's Degree
Learner 3441,United Kingdom,Female,1989,Undergraduate
Learner 3446,United States,Female,1989,Academic Degree
Learner 3458,United States,Male,1989,Master's Degree
Learner 3459,United Kingdom,Male,1989,Undergraduate
Learner 3464,Australia,Male,1989,Master's Degree
Learner 3470,United States,Female,1989,Undergraduate
Learner 3487,United States,Female,1989,Academic Degree
Learner 3492,Australia,Male,1989,Master's Degree
Learner 3509,United States,Male,1989,Undergraduate
Learner 3513,Australia,Female,1989,Undergraduate
Learner 3514,United States,Female,1989,Master's Degree
Learner 3517,United Kingdom,Female,1989,Academic Degree
Learner 3519,Canada,Male,1989,Master's Degree
Learner 3522,Canada,Male,1989,Master's Degree
Learner 3545,Canada,Male,1989,Undergraduate
Learner 3547,United Kingdom,Female,1989,Undergraduate
Learner 3561,Australia,Female,1989,Undergraduate
Learner 3567,Australia,Male,1989,Master's Degree
Learner 3576,United States,Male,1989,Undergraduate
Learner 3586,Australia,Female,1989,Master's Degree
Learner 3588,Canada,Male,1989,Academic Degree
Learner 3605,Canada,Male,1989,Master's Degree
Learner 3607,Australia,Male,1989,Academic Degree
Learner 3616,United States,Female,1989,Undergraduate
Learner 3619,United States,Female,1989,Academic Degree
Learner 3632,Canada,Male,1989,Master's Degree
Learner 3637,Canada,Female,1989,Undergraduate
Learner 3641,Canada,Male,1989,Undergraduate
Learner 3654,Canada,Male,1989,Master's Degree
Learner 3664,United States,Female,1989,Master's Degree
Learner 3666,United States,Male,1989,Master's Degree
Learner 3670,United Kingdom,Female,1989,Master's Degree
Learner 3689,Australia,Female,1989,Master's Degree
Learner 3696,Canada,Female,1989,Undergraduate
Learner 3705,Canada,Male,1989,Undergraduate
Learner 3707,United States,Female,1989,Undergraduate
Learner 3729,Canada,Male,1989,Undergraduate
Learner 3739,Australia,Male,1989,Academic Degree
Learner 3746,Australia,Male,1989,Undergraduate
Learner 3757,Canada,Male,1989,Undergraduate
Learner 3758,United States,Female,1989,Academic Degree
Learner 3764,United States,Female,1989,Academic Degree
Learner 3795,Canada,Female,1989,Academic Degree
Learner 3815,United States,Female,1989,Undergraduate
Learner 3816,United States,Female,1989,Master's Degree
Learner 3824,Canada,Male,1989,Academic Degree
Learner 3832,United Kingdom,Male,1989,Master's Degree
Learner 3835,United Kingdom,Male,1989,Undergraduate
Learner 3839,Canada,Male,1989,Master's Degree
Learner 3842,United Kingdom,Female,1989,Master's Degree
Learner 3844,United Kingdom,Male,1989,Master's Degree
Learner 3845,Australia,Male,1989,Academic Degree
Learner 3854,Australia,Male,1989,Undergraduate
Learner 3876,United States,Male,1989,Undergraduate
Learner 3910,Australia,Female,1989,Academic Degree
Learner 3921,Italy,Male,1989,Academic Degree
Learner 3930,France,Male,1989,Academic Degree
Learner 3932,Spain,Male,1989,Undergraduate
Learner 3936,Italy,Male,1989,Master's Degree
Learner 3959,Germany,Male,1989,Academic Degree
Learner 3964,France,Female,1989,Master's Degree
Learner 3965,Saudi Arabia,Male,1989,Undergraduate
Learner 3967,South Korea,Female,1989,Undergraduate
Learner 3973,Saudi Arabia,Female,1989,Master's Degree
Learner 3988,Italy,Male,1989,Master's Degree
Learner 3993,Italy,Male,1989,Undergraduate
Learner 4003,Saudi Arabia,Male,1989,Academic Degree
Learner 4008,France,Male,1989,Undergraduate
Learner 4010,France,Male,1989,Academic Degree
Learner 4016,Spain,Female,1989,Undergraduate
Learner 4019,Saudi Arabia,Female,1989,Academic Degree
Learner 4022,Spain,Female,1989,Master's Degree
Learner 4037,Germany,Female,1989,Master's Degree
Learner 4040,Spain,Female,1989,Master's Degree
Learner 4045,Saudi Arabia,Male,1989,Undergraduate
Learner 4065,France,Female,1989,Academic Degree
Learner 4070,Spain,Female,1989,Master's Degree
Learner 4098,France,Female,1989,Academic Degree
Learner 4107,France,Female,1989,Academic Degree
Learner 4129,Saudi Arabia,Male,1989,Master's Degree
Learner 4135,Germany,Female,1989,Undergraduate
Learner 4136,Saudi Arabia,Female,1989,Master's Degree
Learner 4142,France,Female,1989,Undergraduate
Learner 4143,France,Female,1989,Academic Degree
Learner 4154,Spain,Female,1989,Master's Degree
Learner 4159,Italy,Male,1989,Undergraduate
Learner 4168,Saudi Arabia,Male,1989,Undergraduate
Learner 4176,Italy,Female,1989,Master's Degree
Learner 4179,Italy,Male,1989,Academic Degree
Learner 4226,South Korea,Female,1989,Master's Degree
Learner 4228,Italy,Male,1989,Academic Degree
Learner 4231,Germany,Female,1989,Undergraduate
Learner 4260,Italy,Male,1989,Undergraduate
Learner 4262,South Korea,Male,1989,Undergraduate
Learner 4288,Germany,Female,1989,Master's Degree
Learner 4290,Spain,Male,1989,Undergraduate
Learner 4297,Saudi Arabia,Male,1989,Academic Degree
Learner 4308,South Korea,Female,1989,Undergraduate
